fico,aprv_flag,amtfinanced_1req,collateral_dlrinput_newused_1req,pti_1req,ltv_1req,p12_reh7120_a,p12_bcx7110_a,p12_all7170_a,p12_aut7110_a,p12_all7120_a,p12_all7937_a,p12_bcc8120_a,p12_iln7410_a,p12_rev1300_a,p12_all8150_a,p12_bca8370_a,p12_all7517_a,p12_iln8220_a,p12_all6250_a,p12_aua8151_a,p12_rtr7110_a,p12_pil8120_a,p12_aua0300_a,p12_all7938_a,p12_bcc3456_a,p12_all8370_a,p12_aua8220_a,p12_als1300_a,p12_aua6200_a,p12_all2427_a,p12_alm6200_a,p12_all6971_a,clntr9437_a,clact9429_a,clall5010_a,clall2434_a,cloil0214_a,cltra4405_a,clact9428_a,bad_flag,Gender,Race
816,1,21387,USED,3.96,94.51,32,8,0,,117,100,4,67,10,,40,5,130,1,,7,,5,100,5,59,72,15,1,0,1,1,,,,,,,,0,Undefined,White
656,1,24199,USED,4.51,100.83,40,40,0,,99,89,43,18,2,14,41,50,127,60,,0,2,1,33,0,19,53,14,1,0,400,1,1,3,,,,,0,0,Female,White
668,1,36285,NEW,8.01,124.49,27,12,0,59,97,100,8,60,4,15,28,50,38,30,15,,5,1,90,0,22,38,9,60,0,60,1,4,6,8983,0,,0,1,0,Female,Hispanic
779,1,39582,USED,3.07,116.59,80,2,0,78,100,100,32,33,9,46,139,30,87,1,,,,3,100,4,71,87,23,1,0,30,1,,,,,,,,0,Male,Other
590,0,26351,USED,9.43,110.26,108,63,0,,108,100,7,50,4,19,14,43,30,30,,66,1,0,89,0,13,,8,,0,30,1,2,3,0,,,,2,0,Female,Other
665,1,37615,USED,11.78,104.78,68,33,0,,98,100,5,40,2,67,11,50,80,120,,,3,0,100,0,8,,6,,0,120,1,,,,,,,,0,Male,Hispanic
795,1,13325,USED,1.89,28.72,0,0,0,,99,100,85,0,3,,50,50,97,1,,,,3,100,1,33,97,11,1,0,1,1,,,,,,,,0,Male,White
643,1,11380,USED,7.99,89.78,,,0,,68,25,287,0,2,51,216,0,167,1,,,,2,20,,139,167,4,400,0,400,1,0,0,,,,,0,0,Male,White
711,1,15796,USED,7.8,108.9,64,64,0,,134,92,25,82,18,,55,9,196,1,,0,144,2,36,1,79,106,22,1,0,400,1,,,,,,,,0,Female,White
656,1,85665,USED,10.32,117.87,93,59,0,84,99,94,6,80,11,,36,29,112,1,,,11,3,94,5,32,112,18,1,0,120,120,0,0,,,,,0,0,Male,White
775,1,7346,USED,6.61,86.17,0,0,0,,79,100,22,0,12,23,61,0,90,1,,0,,1,91,1,83,90,13,1,0,30,1,,,,,,,,0,Male,Other
581,1,29054,NEW,11.92,98.96,,,0,,99,50,,0,,14,,0,198,1,,,57,0,0,,37,,21,,0,120,400,0,0,0,,,,0,0,Undefined,Other
659,1,36692,NEW,12.93,103.39,80,71,0,89,89,100,3,14,3,36,38,40,113,30,34,0,97,3,100,0,26,80,7,120,0,120,1,,,,,,,,0,Male,White
825,1,30671,USED,9.41,109.74,35,13,0,,96,100,214,0,10,,268,11,184,1,,3,,2,100,3,111,134,14,1,0,1,1,,,,,,,,0,Undefined,White
646,1,46092,USED,12.95,112.45,57,57,0,74,98,78,52,30,2,,46,33,117,1,,,12,3,82,0,29,52,13,1,0,400,400,,,,,,,,0,Female,Hispanic
740,1,7948,USED,5.65,21.48,105,43,0,,105,100,7,0,8,49,68,29,116,1,,0,116,1,100,2,78,97,12,1,0,30,1,,,,,,,,0,Male,Other
669,1,22805,USED,13.01,100.35,23,23,0,,147,63,4,75,2,,83,17,249,400,,,69,1,67,0,109,65,4,1,0,400,400,0,0,0,,,,0,0,Female,White
805,1,32255,NEW,10.98,78.22,5,4,0,,5,100,169,0,3,,172,0,92,1,,,,1,100,2,114,92,4,1,0,1,1,,,,,,,,0,Male,Hispanic
769,1,16577,USED,8.68,128.26,4,1,0,,4,100,6,0,5,30,11,100,41,30,30,,,1,86,0,13,41,5,30,0,400,1,1,1,,,,,0,0,Male,White
785,1,18401,USED,4.29,94.87,20,18,0,,91,86,25,100,14,4,126,0,21,1,,0,21,0,90,2,119,,16,,0,30,30,,,,,,,,0,Female,White
642,1,15265,USED,7.39,134.66,80,74,0,46,186,100,39,78,18,26,40,52,158,1,26,40,,4,81,0,42,76,21,30,0,120,1,2,3,0,,,,1,1,Male,White
640,1,63867,NEW,8.15,99.34,18,10,0,,81,80,3,,8,10,21,22,,1,,,,0,67,1,35,,9,,0,400,30,,,,,,,,0,Male,White
711,1,22149,USED,3.27,113.28,63,56,0,,98,88,31,33,3,30,43,0,135,30,80,56,,3,89,1,32,135,7,60,0,60,400,1,4,,,,,0,0,Female,Black
812,1,52233,NEW,9.38,98.94,0,0,,,0,100,22,0,13,,86,0,93,1,,,,2,100,1,77,93,15,1,0,1,1,,,,,,,,0,Female,Hispanic
728,1,35132,NEW,6.56,111.82,33,17,0,92,121,100,63,29,4,,109,33,152,1,,,45,3,100,1,45,26,12,1,0,120,1,0,0,0,,,,0,0,Female,Hispanic
550,1,43400,USED,12.9,94.86,100,,2,,160,71,33,82,1,,7,10,112,400,,,,2,63,0,64,104,3,400,0,400,400,16,53,4367,,,,5,0,Male,Other
836,1,24819,NEW,3.92,105.25,10,10,0,,50,100,95,0,7,,93,0,106,1,,,54,1,100,1,37,102,14,1,0,1,1,,,,,,,,0,Male,Hispanic
760,1,68963,NEW,1.9,96.88,0,0,,,0,100,295,0,4,26,393,0,95,1,26,,,1,50,0,295,95,4,30,0,30,1,,,,,,,,0,Male,Hispanic
703,0,19777,USED,12.05,101.81,0,0,,,0,100,7,,1,,7,100,29,1,,,,0,100,0,13,,1,,0,1,1,,,,,,,,0,Female,Asian
630,1,17781,NEW,13.49,97.21,,,0,77,77,17,,33,,,,0,83,1,,,,3,17,,24,83,3,1,0,1,400,0,0,,,,,0,0,Female,White
789,1,20096,USED,6.92,111.71,32,15,0,,93,100,4,89,4,,48,8,137,1,,,,1,100,3,80,60,7,1,0,1,1,,,,,,,,0,Male,White
861,1,30997,USED,6.87,72.71,21,0,0,31,31,100,7,17,17,,154,17,149,1,,0,118,4,100,4,82,103,23,1,0,1,1,,,,,,,,0,Female,Black
608,1,19443,USED,3.39,103.42,,,0,,102,43,198,100,2,17,23,67,1,1,,,1,0,29,,62,,4,,0,400,400,0,0,,,,,0,0,Male,White
602,1,60619,NEW,10.74,114.48,97,73,0,30,97,81,7,25,10,2,46,23,80,60,,44,80,2,75,0,43,66,14,1,1,60,60,0,0,,,,,0,0,Male,White
725,1,61051,NEW,10.97,96.11,80,40,0,57,80,90,12,50,9,8,32,38,56,30,,6,,2,90,0,40,56,11,1,1,30,30,0,0,,,,,0,0,Male,White
817,1,84921,USED,13.3,106.42,14,13,0,83,83,100,61,25,9,,56,0,46,1,,0,27,3,100,1,33,46,16,1,0,1,1,0,0,,,,,0,0,Male,White
736,0,10207,USED,7.98,57.53,6,,0,92,92,100,17,100,2,,12,67,6,1,,,,1,100,1,10,6,3,1,0,1,1,,,,,,,,0,Male,Black
646,1,17690,USED,6.87,105.45,63,,0,,98,67,,0,3,30,,0,123,30,30,63,67,2,80,,42,123,6,30,0,400,1,0,0,,,,,0,0,Female,Asian
748,1,31083,USED,8.11,131.29,0,0,0,75,99,100,14,67,1,,14,25,23,1,,,,3,100,0,13,23,6,1,0,1,1,0,0,,,,,0,0,Male,White
738,1,23495,NEW,6.04,113.41,78,55,0,,79,100,16,0,11,13,110,0,221,1,41,0,165,3,89,3,69,114,17,30,0,30,1,,,,,,,,0,Female,White
685,1,43052,USED,7.63,108.2,65,26,1,45,68,83,91,21,7,7,111,0,167,90,21,0,94,9,65,0,61,129,20,30,0,400,30,,,,,,,,0,Male,White
850,1,64277,NEW,2.62,96.24,32,14,0,,99,100,3,7,7,,117,25,190,1,,0,144,3,100,2,67,118,25,1,0,1,1,,,,,,,,0,Male,White
712,1,50672,USED,8.28,95.16,101,101,0,28,101,83,105,25,7,16,121,0,250,1,,,,2,88,1,95,72,11,1,0,120,120,,,,,,,,0,Female,Hispanic
826,1,59444,NEW,11.22,128.66,31,9,0,,31,100,12,0,45,,62,21,132,1,,2,16,2,100,6,54,71,57,1,0,1,1,,,,,,,,0,Male,Hispanic
741,1,25647,NEW,7.52,88.48,0,0,0,30,30,100,62,50,1,19,62,0,43,30,,,,2,67,0,34,43,3,1,0,30,1,,,,,,,,0,Male,Hispanic
694,1,23240,USED,8.71,100.82,53,21,0,91,91,90,10,100,8,,18,44,14,1,,26,14,1,90,0,27,12,10,1,0,1,1,3,3,0,,,,0,0,Female,White
704,1,62664,USED,13.77,94.95,17,16,0,,61,83,9,22,3,31,43,17,76,1,,,15,4,89,1,27,76,12,1,0,120,1,0,0,,,,,0,0,Male,White
858,1,12918,USED,2.27,54.1,18,7,0,44,52,100,19,25,16,,95,0,110,1,,0,,4,100,8,76,110,23,1,0,1,1,,,,,,,,0,Female,White
852,1,8048,USED,5.27,180.85,27,9,0,,92,100,22,0,8,,102,0,162,1,,,,2,100,2,74,162,11,1,0,1,1,,,,,,,,0,Female,Black
614,1,12358,USED,6.22,144.54,102,100,29,59,102,76,19,38,10,17,62,36,197,1,,15,8,8,55,0,42,136,26,1,0,400,1,0,0,0,,,,0,0,Female,Asian
766,1,11290,USED,10.19,103.58,35,35,0,,35,100,31,,1,,31,0,,1,,,,0,100,1,31,,1,,0,1,1,,,,,,,,0,Male,Black
638,0,10426,USED,1.32,71.62,100,80,0,96,100,100,15,33,10,,56,9,83,1,,0,,6,100,6,45,83,16,1,0,1,1,,,,,,,,0,Male,White
782,1,12676,USED,4.01,50.83,11,11,0,,100,100,56,0,1,,56,50,71,1,,,,2,100,0,28,41,4,1,0,1,1,,,,,,,,0,Male,Other
641,0,5278,USED,1.44,127.95,76,46,0,93,97,70,14,100,5,,25,29,15,120,,39,,2,70,0,25,15,7,1,0,400,400,1,2,,,,,0,0,Male,White
714,1,11349,USED,2.32,71.27,33,33,0,,33,100,20,100,7,43,56,0,206,1,,,,0,100,0,91,,7,,0,400,1,,,,,,,,0,Female,Hispanic
854,1,39780,NEW,14.56,66.02,18,6,0,,90,100,10,,9,,83,13,,1,,8,,0,100,3,84,,14,,0,1,1,,,,,,,,0,Male,White
645,1,31519,USED,9.67,105.43,43,32,0,,62,80,3,100,4,,20,60,124,1,,0,11,0,83,0,33,,5,,0,400,1,,,,,,,,0,Male,White
717,1,23512,USED,4.45,106.79,56,55,0,,102,100,8,14,9,35,58,50,182,30,,0,1,2,68,1,26,182,29,1,0,400,1,0,0,0,,,,0,0,Male,White
598,1,9748,USED,3.73,101.01,92,92,8,86,92,67,17,7,16,19,34,0,243,120,22,37,77,7,67,0,57,243,29,60,0,400,60,1,1,,,,,0,0,Male,White
679,1,92950,NEW,9.09,126.77,73,10,0,59,138,100,10,42,7,15,67,18,196,1,15,,7,6,73,2,67,105,14,30,0,400,1,2,2,,,,,1,0,Female,Black
718,1,55205,NEW,10.61,108.11,,,0,73,73,100,54,50,2,44,44,0,54,30,44,,,2,100,,33,54,3,30,0,30,1,0,0,,,,,0,0,Undefined,White
684,0,23904,USED,11.92,74.71,0,,,,0,0,,0,0,12,,0,228,1,,0,125,0,0,,24,,1,,0,30,30,,,,,,,,0,Female,White
620,1,89847,USED,12.74,117.88,95,23,0,,132,96,29,25,20,6,100,0,171,1,6,46,78,4,96,2,79,136,27,30,0,30,30,0,0,0,,,,0,0,Male,White
798,1,43788,NEW,8.09,105.76,9,3,0,,9,100,33,0,7,32,36,0,66,30,,0,,3,100,3,31,66,10,1,0,30,1,,,,,,,,0,Male,White
691,1,36410,NEW,16.5,133.97,97,94,0,53,98,91,8,20,4,48,39,25,131,30,,33,7,3,92,0,24,131,14,1,0,400,1,0,0,0,,,,0,0,Male,Hispanic
842,1,23073,USED,5.11,73.26,12,2,0,27,90,100,25,10,23,,54,0,178,1,,0,,3,100,6,56,109,27,1,0,1,1,,,,,,,,0,Undefined,Hispanic
789,1,16654,USED,3,55.52,0,0,0,,114,100,19,17,21,70,40,0,266,30,,0,54,1,100,0,60,192,27,1,0,30,1,0,0,0,,,,0,0,Male,White
739,1,29863,NEW,4.9,98.44,88,21,0,,100,100,39,17,14,,93,33,214,1,,0,1,1,100,5,63,123,24,1,0,1,1,0,0,,,,,0,0,Female,White
705,1,48869,NEW,12.8,112.89,94,91,0,,96,86,48,0,6,,49,0,48,1,,19,48,0,86,1,78,,9,,0,1,1,,,,,,,,0,Female,White
791,1,33284,NEW,4.93,85.09,79,26,0,,99,100,27,33,11,,105,0,227,1,,,18,2,100,3,92,130,19,1,0,1,1,,,,,,,,0,Female,Black
749,1,23031,USED,17.91,129.94,24,23,0,83,83,100,3,100,4,,6,60,18,1,,11,,1,100,0,11,18,5,1,0,1,1,0,0,,,,,0,1,Female,White
688,1,20028,USED,7.86,111.27,101,95,0,46,101,91,69,100,9,52,119,0,70,1,,27,,2,91,0,65,70,11,1,0,60,400,0,0,,,,,0,0,Female,White
662,1,33031,USED,15.99,111.59,59,43,0,66,101,100,5,50,3,19,30,50,56,400,,,25,3,89,1,15,7,8,1,0,400,1,2,6,,,,,0,0,Female,White
760,0,8738,USED,5.91,91.13,0,0,0,,164,100,9,100,1,,9,5,130,1,,,,1,100,0,58,35,2,1,0,1,1,,,,,,,,0,Female,White
663,0,30491,NEW,11.23,111.76,98,69,0,85,98,91,21,10,22,44,62,11,135,1,,60,47,9,92,5,38,115,45,1,0,30,1,,,,,,,,0,Male,White
788,1,17334,USED,6.65,110.41,22,4,0,99,99,100,6,11,7,,15,50,94,1,,,,2,100,4,18,27,9,1,0,1,1,,,,,,,,0,Female,White
814,1,53311,NEW,16.56,75.66,12,12,0,68,95,100,120,14,6,,130,17,108,1,,0,106,5,100,1,34,46,14,1,0,1,1,,,,,,,,0,Male,White
790,1,14593,USED,5.05,36.12,37,37,0,54,54,100,78,33,6,,83,0,118,1,,0,,3,80,1,57,118,12,1,0,1,1,0,0,,,,,0,0,Female,White
878,1,38770,NEW,8.04,106.08,9,9,0,,93,100,4,50,10,,89,22,172,1,,0,172,3,100,1,63,81,14,1,0,1,1,,,,,,,,0,Undefined,Other
682,1,28448,NEW,11.73,114.53,16,16,0,,112,86,35,15,7,34,47,40,130,400,34,,1,4,78,0,26,126,13,30,0,400,1,3,3,14792,0,,0,3,0,Male,Other
642,1,18592,USED,5.52,95.98,89,,0,88,100,83,39,40,2,,36,25,82,1,,,,5,86,0,29,82,9,1,0,400,1,,,,,,,,0,Male,White
806,1,18211,USED,8.1,131.49,8,3,0,,98,100,42,,3,,88,25,26,1,,,,0,100,3,60,,4,,0,1,1,,,,,,,,0,Male,White
637,1,21238,USED,13.49,110.74,20,1,0,,100,88,15,33,8,30,23,25,33,400,,20,8,0,89,0,20,,15,,0,400,400,6,19,2325,0,0,,0,0,Male,White
651,1,14779,USED,3.5,70.55,,,8,,99,50,52,50,7,,45,0,212,1,,,141,1,50,0,80,94,11,1,0,400,400,,,,,,,,0,Male,White
622,1,24763,USED,9.43,93.55,,,0,20,20,50,59,33,0,54,6,0,145,120,,,,3,50,,36,145,2,400,0,400,1,0,0,,,,,0,0,Male,Hispanic
575,0,15249,USED,7.45,72.63,63,,0,,63,67,28,,4,10,19,0,,120,,52,,0,40,,22,,4,,0,120,30,0,0,,,,,0,0,Male,White
663,1,50672,NEW,5.69,92.48,80,54,3,37,80,92,18,33,8,,78,0,60,400,,,5,2,92,2,61,60,12,1,0,400,1,1,1,0,,,,0,0,Undefined,Hispanic
779,1,18938,USED,8.38,85.2,16,16,0,,125,100,65,100,1,,65,0,94,1,,,,0,100,1,50,,1,,0,1,1,,,,,,,,0,Female,White
700,1,52894,NEW,4.22,77.4,89,32,0,61,89,93,14,80,15,1,50,7,84,60,,40,59,4,87,4,43,84,20,1,0,60,30,,,,,,,,0,Female,White
627,1,76738,NEW,9.92,120.36,91,59,0,82,94,81,26,45,5,4,46,15,95,90,,74,7,6,50,0,30,93,15,1,0,90,60,3,3,11599,0,0,0,0,0,Female,Black
716,0,20738,USED,11.42,117.23,71,71,0,95,95,100,9,50,2,,10,50,14,1,,,,2,100,0,7,14,4,1,0,1,1,2,2,,,,,0,0,Female,White
639,1,39199,NEW,9.83,125.13,37,25,0,90,90,83,22,40,2,7,56,0,72,400,,,13,3,75,0,36,72,6,400,0,400,90,0,0,,,,,0,0,Undefined,Hispanic
609,0,52126,NEW,9.91,119.98,98,70,0,96,110,100,3,18,33,,40,25,169,1,,32,48,11,100,4,41,95,48,1,0,1,1,3,3,0,,,0,2,0,Female,White
665,1,21682,USED,4.6,101.32,99,99,0,,99,100,7,0,5,,86,100,80,400,,,72,3,100,0,55,77,6,400,0,400,1,0,0,0,,,,0,0,Male,Other
842,1,14999,NEW,4.47,38.19,7,6,0,,7,100,167,0,3,,189,0,135,1,,,,3,100,2,132,135,6,1,0,1,1,,,,,,,,0,Male,Black
817,1,10658,USED,3.31,68.32,59,31,0,,90,100,33,38,14,,120,0,152,1,,3,59,4,100,6,80,152,22,1,0,1,1,,,,,,,,0,Male,White
695,1,17689,NEW,6.57,97.52,,,,,,100,,0,,,,,128,1,,,12,3,100,,32,104,9,1,0,1,1,,,,,,,,0,Male,White
652,1,14210,USED,12.32,106.84,,,30,61,93,50,,100,1,,,50,33,400,,,9,1,50,,16,33,3,1,0,400,1,,,,,,,,0,Female,White
682,1,42607,NEW,5.82,87.14,65,28,0,,65,71,17,0,8,27,29,0,119,400,27,,19,1,73,0,28,54,9,90,0,400,1,3,4,0,,,,0,0,Male,Other
628,0,27011,USED,16.36,84.34,44,28,37,93,93,55,7,20,5,24,32,50,81,1,,,45,4,50,0,27,81,9,1,0,400,1,2,5,,,,,2,0,Male,White
652,1,20599,USED,10.13,94.82,101,101,0,96,101,100,36,40,1,,36,67,27,1,,,3,3,100,0,11,27,6,1,0,1,1,,,,,,,,0,Female,Hispanic
653,1,10246,USED,9.11,124.95,84,39,0,,84,100,39,0,5,31,93,0,86,60,,,,2,100,0,73,86,7,1,0,400,1,,,,,,,,0,Female,White
826,1,36014,NEW,3.51,95.97,8,7,0,95,95,100,19,20,6,37,138,33,136,1,,0,,5,100,2,68,136,13,1,0,30,1,,,,,,,,0,Female,White
802,1,23391,USED,7.48,112.24,15,5,0,,92,100,3,0,27,53,95,25,117,30,,0,15,1,100,2,81,117,34,1,0,30,1,,,,,,,,0,Female,Hispanic
548,0,22329,USED,6.85,106.58,,,26,95,95,33,,25,,,,100,100,1,,,31,2,50,,16,76,3,400,0,400,1,4,6,,,,,3,0,Male,Black
674,1,28519,USED,14.94,123.76,104,55,0,42,104,100,35,50,2,,47,25,48,1,,,48,1,100,2,37,40,5,1,0,1,1,,,,,,,,0,Female,White
644,1,30140,USED,10.98,118.42,86,,0,58,86,100,,100,1,14,,33,30,1,,66,,1,67,,25,30,2,1,0,30,1,0,0,,,,,0,0,Female,White
712,0,24394,USED,11.64,123.83,74,39,0,,74,100,2,,7,,25,57,,1,,32,,0,100,1,25,,7,,0,1,1,5,11,,,,,4,1,Male,Hispanic
783,0,15350,USED,11.69,128.18,6,6,0,,6,100,13,,1,,13,0,,1,,,,0,100,0,13,,1,,0,1,1,,,,,,,,0,Undefined,Other
682,1,53198,NEW,14.12,134.7,90,56,0,73,100,100,1,25,26,47,33,24,144,60,,25,94,7,100,2,27,101,39,1,0,400,1,0,0,,,,,0,0,Female,White
637,1,29054,USED,6.33,86.73,0,0,3,,144,80,70,50,3,22,77,0,117,400,,,73,2,75,0,63,81,6,1,0,400,1,0,0,,,,,0,0,Male,Other
734,1,41503,USED,8.12,72.94,67,7,0,35,67,94,6,17,19,1,79,27,126,60,80,8,38,4,95,7,53,126,26,30,1,60,30,0,0,,,,,0,0,Male,Hispanic
741,1,38696,USED,11.85,107.79,12,12,0,93,101,100,8,75,1,,8,50,36,1,,,,2,100,0,19,36,3,1,0,1,1,,,,,,,,0,Female,Hispanic
784,1,35277,NEW,8.45,88.66,0,0,0,,97,100,7,0,11,31,65,22,130,1,,0,130,5,100,3,42,94,19,1,0,30,1,,,,,,,,0,Female,White
667,0,26028,NEW,21.2,121.23,0,,0,84,84,67,,50,0,11,,0,17,60,,0,17,1,67,,13,13,2,1,0,60,60,,,,,,,,0,Female,White
682,0,38895,USED,18.15,106.06,85,16,0,90,90,86,4,20,4,69,30,50,126,1,,,,5,75,0,25,126,9,400,0,400,1,4,4,,,,,0,0,Male,Hispanic
564,0,18982,USED,9.16,105.53,90,82,89,,90,67,1,0,4,,4,100,104,400,,,,3,57,0,7,104,6,400,0,400,1,2,2,,,,,2,0,Male,White
580,0,20145,USED,8.63,96.45,93,93,80,,93,17,78,0,3,48,54,0,178,1,,,65,3,14,0,65,154,8,1,0,400,1,,,,,,,,0,Male,Asian
697,1,26543,USED,17.43,106.19,1,0,0,,75,100,23,40,3,15,37,0,32,1,,,15,2,86,2,22,32,8,1,0,60,1,,,,,,,,0,Male,Hispanic
761,1,18915,USED,8.37,37.44,81,81,0,,89,100,91,0,8,44,95,14,98,1,,0,98,1,100,1,63,11,11,1,0,60,1,,,,,,,,0,Male,Hispanic
656,1,16856,USED,9.32,100.12,16,,0,,108,75,42,25,2,19,22,50,173,30,19,,173,2,33,,54,90,3,60,0,400,1,,,,,,,,0,Male,Hispanic
787,1,24001,NEW,5.18,51.77,26,26,0,,26,100,47,,8,,171,0,,1,,,,0,100,3,130,,8,,0,1,1,,,,,,,,0,Female,White
635,1,42869,USED,6.1,97.6,31,,4,,95,86,0,50,15,47,21,36,82,400,,0,3,1,82,4,23,82,16,400,0,400,1,2,12,,,,,2,0,Male,White
631,1,26033,USED,9.9,112.71,77,55,54,,77,83,71,,5,,143,20,,1,,31,,0,83,0,60,,5,,0,400,1,,,,,,,,0,Male,Black
847,1,14531,USED,5.96,271.61,21,16,0,74,98,100,47,33,15,,109,21,181,1,,7,,6,100,6,74,181,27,1,0,1,1,,,,,,,,0,Male,Black
702,1,25965,USED,10.92,105.12,,,0,,120,100,,20,1,,,0,117,1,,,,0,100,,40,,1,,0,1,1,0,0,,,,,0,0,Female,Other
595,0,21289,USED,7.83,117.46,85,85,0,72,85,33,33,25,1,21,28,33,196,1,,,80,1,22,0,54,76,5,400,0,400,1,3,6,,,,,0,0,Male,White
751,1,21787,USED,3.28,74.87,70,23,0,,70,100,16,,22,,171,9,,1,,13,,0,100,5,138,,22,,0,1,1,,,,,,,,0,Female,White
607,0,41863,USED,11.62,107.33,110,103,0,96,110,100,3,22,8,15,15,43,142,400,19,79,3,5,65,0,19,142,23,30,0,400,1,7,12,3738,0,0,,1,0,Male,Other
676,0,14875,USED,8.2,118.53,60,48,0,,100,100,1,100,5,,15,38,21,1,,,,0,100,0,16,,5,,0,1,1,,,,,,,,0,Female,Hispanic
770,1,30385,USED,6.99,71.15,70,,0,67,78,100,183,50,2,,153,0,169,1,,,,4,100,1,102,144,9,1,0,1,1,,,,,,,,0,Female,White
705,1,25438,USED,8.17,115.63,27,27,0,,67,50,4,0,6,,5,50,114,400,,,32,3,50,0,40,96,13,400,0,400,1,0,0,,,,,0,0,Female,White
624,1,32761,USED,13.99,109.2,1,,0,,48,71,,22,2,7,,33,120,1,,1,43,2,71,,36,106,8,400,0,400,90,0,1,,,,,0,0,Female,White
558,1,23855,USED,11.5,130.05,76,70,0,34,100,50,20,50,2,8,23,33,148,30,,,1,3,56,0,68,58,6,400,0,400,400,2,2,,,,,1,0,Male,Hispanic
718,1,32339,USED,13.92,95.25,7,0,0,,104,100,27,100,2,,27,13,65,1,,7,,0,100,0,40,,2,,0,1,1,,,,,,,,0,Male,Black
738,0,22828,USED,10.7,55.21,9,9,0,97,97,100,19,50,1,,19,50,7,1,,,,2,100,0,9,7,3,1,0,1,1,1,2,,,,,0,0,Male,White
787,1,47382,USED,10.04,90.9,45,45,0,24,99,100,96,40,1,76,96,25,129,1,,,25,4,100,1,46,129,8,1,0,30,1,,,,,,,,0,Male,White
681,1,36767,NEW,13.03,128.86,80,0,0,99,99,100,1,100,3,,6,67,5,1,,,,1,100,0,6,5,4,1,0,1,1,,,,,,,,0,Undefined,Hispanic
767,0,31806,USED,10.93,85.56,7,,0,,7,100,327,,3,,187,0,,1,,3,,0,100,1,247,,3,,0,1,1,,,,,,,,0,Female,Hispanic
663,0,28208,USED,22.05,124.95,0,0,0,95,100,91,28,14,1,,28,33,35,1,,,5,3,93,0,5,35,15,1,0,400,1,4,8,,,,,3,0,Female,White
831,0,11007,USED,4.55,211.67,9,9,0,86,97,100,175,50,4,,158,25,188,1,,2,2,4,100,1,79,95,14,1,0,1,1,,,,,,,,0,Male,White
641,0,10990,USED,4.61,120.77,93,93,0,,93,100,23,,1,,23,0,,1,,,,0,100,0,23,,1,,0,1,1,,,,,,,,0,Undefined,Hispanic
637,0,30694,USED,10.55,92.87,97,62,12,92,106,95,6,15,21,,54,27,164,1,,26,3,6,95,2,41,134,33,1,0,400,1,4,5,,,,,3,0,Male,Hispanic
542,0,35938,NEW,12.35,64.52,42,33,96,,42,22,5,0,3,,11,50,57,400,,,,1,22,0,18,57,3,400,0,400,400,,,,,,,,0,Female,White
510,0,20391,USED,15.94,94.25,50,50,0,64,124,23,1,40,2,4,2,50,160,400,4,,,2,21,0,37,87,3,60,0,400,400,2,6,,,,,3,1,Male,White
748,1,25369,USED,8.41,109.82,77,24,0,,77,56,24,20,13,6,57,0,133,30,,17,,5,54,0,63,133,20,1,0,120,120,,,,,,,,0,Male,Hispanic
644,1,56251,NEW,8.66,132.15,95,84,0,74,209,92,36,83,9,,53,0,189,400,,,111,4,93,0,82,126,14,1,0,400,60,0,0,,,,,0,0,Female,White
728,0,21340,USED,18.53,95.8,84,57,0,69,84,100,7,33,5,,19,20,57,1,,0,,3,100,1,18,57,8,1,0,1,1,,,,,,,,0,Male,Asian
722,1,15417,USED,9.44,129.83,68,44,0,,89,100,15,5,8,18,65,29,172,1,,47,18,17,93,2,32,172,34,1,0,30,1,0,0,,,,,0,0,Female,White
747,1,24464,NEW,14.41,101.84,2,1,0,,2,100,7,,2,,11,50,,1,,,,0,100,0,11,,2,,0,1,1,,,,,,,,0,Male,White
767,1,29299,USED,6.95,86.17,61,21,0,,95,100,39,0,18,,67,0,216,1,,,216,1,100,5,65,153,21,1,0,1,1,,,,,,,,0,Female,White
613,0,43732,USED,9.03,87.3,,,,,,0,,0,5,9,57,0,183,400,7,,86,3,0,,57,117,12,90,0,400,90,,,,,,,,0,Male,White
825,1,35383,USED,11.46,162.31,45,3,0,59,90,100,7,38,4,,101,13,185,1,,,54,2,100,3,86,148,13,1,0,1,1,,,,,,,,0,Female,White
607,0,19781,USED,15.3,123.25,109,69,0,80,172,100,0,100,4,,4,69,118,400,,,2,2,71,0,30,20,10,1,0,400,1,3,7,,,,,1,1,Male,White
588,1,17134,USED,7.15,95.45,2,0,0,,2,67,73,0,1,23,53,0,142,1,,2,,1,33,1,31,80,2,400,0,400,1,2,4,,,,,1,0,Female,Hispanic
529,0,32669,USED,7.48,120,87,64,0,57,135,56,21,67,4,0,22,0,129,1,5,32,20,1,56,0,35,51,4,30,0,400,400,0,0,,,,,0,1,Female,White
834,1,55876,USED,12.65,113.68,29,12,0,87,99,100,41,17,14,,106,11,125,1,,,8,20,100,3,42,125,41,1,0,1,1,,,,,,,,1,Male,White
561,0,20352,NEW,9.1,83.44,,,22,59,59,8,25,25,0,23,8,0,87,400,,,33,2,14,0,22,87,5,1,0,400,400,0,0,,,,,0,0,Female,Black
679,1,42635,USED,7.83,107.15,,,0,67,78,100,,40,0,34,9,0,143,400,,,124,3,100,,28,120,5,1,0,400,1,0,0,,,,,0,0,Female,White
667,1,33335,USED,10.08,109.21,76,0,0,93,93,70,2,33,8,7,12,29,97,1,,40,25,2,70,0,25,84,14,1,0,60,60,0,0,,,,,0,,Male,White
